method,steps,h,rmse,rmse_standard_error,weak_mean_error,boundary_violation_rate,fitted_strong_slope
Euler-Maruyama,32,0.03125,0.0221136711895,0.000369158748201,0.00103604363141,0,0.492835810696
Milstein,32,0.03125,0.00561055367054,9.2129526482e-05,0.00104558780915,0,1.00596647076
Stratonovich-Heun,32,0.03125,0.00430238333544,5.92555971347e-05,0.000987643187996,0,1.00131380909
Euler-Maruyama,64,0.015625,0.0155791851345,0.000249987185282,0.000376284872266,0,0.492835810696
Milstein,64,0.015625,0.00282396032031,3.91601939524e-05,0.000547775429736,0,1.00596647076
Stratonovich-Heun,64,0.015625,0.00217117167687,2.57736372046e-05,0.00051836160553,0,1.00131380909
Euler-Maruyama,128,0.0078125,0.0111750335713,0.000181063219155,0.000390064291676,0,0.492835810696
Milstein,128,0.0078125,0.00138078084533,1.64513803309e-05,0.000277033452168,0,1.00596647076
Stratonovich-Heun,128,0.0078125,0.0010672741245,1.08235981699e-05,0.000265528201123,0,1.00131380909
Euler-Maruyama,256,0.00390625,0.00784848005916,0.000120066539279,0.000128582089813,0,0.492835810696
Milstein,256,0.00390625,0.000694938549178,7.82745402701e-06,0.000151436246779,0,1.00596647076
Stratonovich-Heun,256,0.00390625,0.000538029083051,5.27380375071e-06,0.000139692814799,0,1.00131380909
Euler-Maruyama,512,0.001953125,0.00564610080175,7.82392303827e-05,0.00018708664343,0,0.492835810696
Milstein,512,0.001953125,0.000346203459212,3.7098485396e-06,6.94824958929e-05,0,1.00596647076
Stratonovich-Heun,512,0.001953125,0.000268859787564,2.48125233273e-06,6.73453865856e-05,0,1.00131380909
