maturity,theta,forward,time_derivative,phase_generator,residual
0.12,-0.463647609001,-0.025,1.07753335235e-29,1.06147383772e-29,1.60595146337e-31
0.12,-0.453629476544,-0.0243769666932,5.47862986606e-29,5.39492581561e-29,8.37040504537e-31
0.12,-0.443611344087,-0.0237599900872,2.68567953964e-28,2.64361344715e-28,4.20660924926e-30
0.12,-0.43359321163,-0.0231488602184,1.27077344682e-27,1.25036625935e-27,2.04071874777e-29
0.12,-0.423575079173,-0.0225433734096,5.8100948297e-27,5.71442569651e-27,9.56691331911e-29
0.12,-0.413556946716,-0.0219433319732,2.56950015039e-26,2.52611406505e-26,4.3386085342e-28
0.12,-0.403538814259,-0.0213485439287,1.10025746849e-25,1.08120496587e-25,1.90525026136e-27
0.12,-0.393520681802,-0.0207588227338,4.56595689898e-25,4.48486242477e-25,8.10944742048e-27
0.12,-0.383502549346,-0.0201739870282,1.83804080516e-24,1.80455464086e-24,3.34861643005e-26
0.12,-0.373484416889,-0.0195938603902,7.18359291387e-24,7.04933028739e-24,1.34262626487e-25
0.12,-0.363466284432,-0.0190182711034,2.72805386074e-23,2.67573897909e-23,5.23148816572e-25
0.12,-0.353448151975,-0.0184470519352,1.00747681548e-22,9.87651258678e-23,1.98255568068e-24
0.12,-0.343430019518,-0.0178800399241,3.620927038e-22,3.54779783541e-22,7.31292025876e-24
0.12,-0.333411887061,-0.0173170761779,1.26743263546e-21,1.24115762191e-21,2.6275013551e-23
0.12,-0.323393754604,-0.0167580056787,4.32369359469e-21,4.23167195394e-21,9.20216407457e-23
0.12,-0.313375622147,-0.0162026770985,1.43847272402e-20,1.40703670894e-20,3.1436015077e-22
0.12,-0.30335748969,-0.0156509426205,4.67029855831e-20,4.56547979893e-20,1.04818759382e-21
0.12,-0.293339357233,-0.0151026577694,1.4806480954e-19,1.4465133678e-19,3.41347276044e-21
0.12,-0.283321224776,-0.0145576812471,4.58648461758e-19,4.47785190265e-19,1.08632714926e-20
0.12,-0.273303092319,-0.0140158747764,1.38891231566e-18,1.35510725115e-18,3.38050645089e-20
0.12,-0.263284959863,-0.0134771029497,4.11407385588e-18,4.01115385126e-18,1.02920004624e-19
0.12,-0.253266827406,-0.0129412330837,1.19260691479e-17,1.16193471669e-17,3.06721981004e-19
0.12,-0.243248694949,-0.0124081350797,3.38506166469e-17,3.29553800966e-17,8.95236550321e-19
0.12,-0.233230562492,-0.0118776812888,9.41210317091e-17,9.15607355994e-17,2.56029610968e-18
0.12,-0.223212430035,-0.0113497463819,2.56481190592e-16,2.49303165233e-16,7.17802535857e-18
0.12,-0.213194297578,-0.0108242072238,6.8527113527e-16,6.6553433529e-16,1.97367999798e-17
0.12,-0.203176165121,-0.0103009427524,1.79592612445e-15,1.74267952363e-15,5.3246600816e-17
0.12,-0.193158032664,-0.00977983386053,4.61856035282e-15,4.47755712896e-15,1.41003223856e-16
0.12,-0.183139900207,-0.00926076328247,1.16595598729e-14,1.12929034487e-14,3.66656424156e-16
0.12,-0.17312176775,-0.00874361548341,2.89049883926e-14,-8.5825880546e-12,8.61149304299e-12
0.12,-0.163103635293,-0.00822827655213,3.35021225822e-14,-8.46696856221e-12,8.5004706848e-12
0.12,-0.153085502837,-0.00771463409674,2.31767746639e-14,1.6838523648e-13,-1.45208461816e-13
0.12,-0.14306737038,-0.00720257714313,3.0096281086e-15,8.77200784471e-12,-8.7689982166e-12
0.12,-0.133049237923,-0.00669199603594,1.80648322261e-15,9.14267850927e-13,-9.12461367705e-13
0.12,-0.123031105466,-0.00618278234193,4.27538437797e-14,2.07944312639e-12,-2.03668928261e-12
0.12,-0.113012973009,-0.00567482875553,6.98257934946e-14,-3.44884260859e-12,3.51866840208e-12
0.12,-0.102994840552,-0.00516802900634,1.9862335094e-13,2.24948836749e-12,-2.05086501655e-12
0.12,-0.092976708095,-0.00466227776851,4.5323765489e-13,6.43275238061e-12,-5.97951472572e-12
0.12,-0.0829585756381,-0.00415747057172,1.02018958771e-12,-7.09333216591e-12,8.11352175362e-12
