case,log_scale_half_spread,curvature_numerator,alpha,correlation_curvature
spread,0,0,-7.5,-0
basket,0,0,7.5,0
spread,0.01,0.000200006666756,-7.5,-2.66675555675e-05
basket,0.01,0.000200006666756,7.5,2.66675555675e-05
spread,0.02,0.000800106672356,-7.5,-0.000106680889647
basket,0.02,0.000800106672356,7.5,0.000106680889647
spread,0.03,0.0018005400648,-7.5,-0.000240072008641
basket,0.03,0.0018005400648,7.5,0.000240072008641
spread,0.04,0.0032017070308,-7.5,-0.000426894270773
basket,0.04,0.0032017070308,7.5,0.000426894270773
spread,0.05,0.0050041680558,-7.5,-0.000667222407441
basket,0.05,0.0050041680558,7.5,0.000667222407441
spread,0.06,0.00720864414827,-7.5,-0.000961152553102
basket,0.06,0.00720864414827,7.5,0.000961152553102
spread,0.07,0.00981601712802,-7.5,-0.00130880228374
basket,0.07,0.00981601712802,7.5,0.00130880228374
spread,0.08,0.012827329979,-7.5,-0.00171031066387
basket,0.08,0.012827329979,7.5,0.00171031066387
spread,0.09,0.0162437872665,-7.5,-0.00216583830221
basket,0.09,0.0162437872665,7.5,0.00216583830221
spread,0.1,0.0200667556191,-7.5,-0.00267556741588
basket,0.1,0.0200667556191,7.5,0.00267556741588
spread,0.11,0.0242977642749,-7.5,-0.00323970190332
basket,0.11,0.0242977642749,7.5,0.00323970190332
spread,0.12,0.028938505694,-7.5,-0.00385846742586
basket,0.12,0.028938505694,7.5,0.00385846742586
spread,0.13,0.0339908362347,-7.5,-0.00453211149796
basket,0.13,0.0339908362347,7.5,0.00453211149796
spread,0.14,0.0394567768966,-7.5,-0.00526090358621
basket,0.14,0.0394567768966,7.5,0.00526090358621
spread,0.15,0.0453385141289,-7.5,-0.00604513521718
basket,0.15,0.0453385141289,7.5,0.00604513521718
spread,0.16,0.0516384007048,-7.5,-0.00688512009398
basket,0.16,0.0516384007048,7.5,0.00688512009398
spread,0.17,0.0583589566631,-7.5,-0.00778119422175
basket,0.17,0.0583589566631,7.5,0.00778119422175
spread,0.18,0.0655028703157,-7.5,-0.00873371604209
basket,0.18,0.0655028703157,7.5,0.00873371604209
