u,direct_real,direct_imag,direct_real_se,direct_imag_se,conditional_real,conditional_imag,gauge_real,gauge_imag,direct_conditional_gap,gap_standard_error,conditional_gauge_gap
0,1,0,0,0,1,0,1,0,0,0,0
0.2,0.984088196661,0.000404032794818,7.74580117897e-05,0.000556512347537,0.984110004662,9.62661746091e-05,0.98410978196,0.000103275724982,0.000308538298131,0.000510126244695,7.01308724857e-06
0.4,0.938059094335,0.00272506928794,0.000291442450908,0.00105614885174,0.938151193141,0.00220593110528,0.938150429635,0.00221995936495,0.000527244386183,0.000998240442166,1.40490216894e-05
0.6,0.866688261063,0.00825756856887,0.000595106314926,0.00146072107518,0.866909295548,0.00769416943943,0.866907992659,0.00771508245804,0.000605206429916,0.00144529632486,2.09535645653e-05
0.8,0.776897299489,0.0172790990252,0.000932279354666,0.00175846950679,0.777310083475,0.016864409333,0.777308601295,0.0168917138265,0.000585113801099,0.00183751263371,2.73446928126e-05
1,0.676525526869,0.0290105603695,0.00125535323247,0.00195930048697,0.677178204281,0.0289113052537,0.677177137971,0.0289439935185,0.00066018132492,0.00216754116934,3.27056519955e-05
1.2,0.573126680638,0.0419079419143,0.00153402942441,0.00208435026474,0.574026161398,0.0422202903935,0.574026124172,0.0422568387338,0.000952169737708,0.00243437046668,3.65483591706e-05
1.4,0.473055006855,0.0541408299001,0.00175546307223,0.00215668821156,0.474143625251,0.0548681063043,0.474145041408,0.0549066416366,0.00130920624064,0.00264217528,3.85613451462e-05
1.6,0.380966048644,0.0640710794646,0.00192010056455,0.00219565401746,0.382114911388,0.0651314827365,0.382117901049,0.0651700562246,0.00156343874301,0.00279856040001,3.86891723507e-05
1.8,0.299715971095,0.0705868725042,0.00203623258262,0.00221488728611,0.300745184847,0.0718480395704,0.300749566474,0.0718849100025,0.00162782779051,0.00291271128423,3.7129872323e-05
2,0.230552772843,0.073234326154,0.00211492787275,0.0022230600006,0.23127873038,0.0745597792837,0.2312841132,0.0745936213689,0.00151123801715,0.0029938593631,3.42674990514e-05
2.2,0.17346736528,0.072170329246,0.00216647809754,0.00222564019812,0.173763529748,0.0734571837975,0.173769441221,0.0734871798899,0.00132049537243,0.00305026906684,3.05730447159e-05
2.4,0.127592932616,0.0680040598454,0.00219878320824,0.00222629854862,0.127440269696,0.0691964637086,0.127446267208,0.0692222843101,0.00120213682252,0.0030887531796,2.65079914084e-05
2.6,0.0915773739448,0.0615981777402,0.0022176743988,0.00222715323555,0.0910811361417,0.0626747465031,0.0910868749975,0.0626964552264,0.00118543336315,0.00311459335334,2.2454468026e-05
2.8,0.0638860353093,0.0538815357292,0.00222806756055,0.0022284451517,0.0632486904066,0.0548291452142,0.0632539451772,0.0548470720893,0.00114200361699,0.00313170142867,1.86811526361e-05
