source,time,moment_order,value,standard_error
exact,0,1,0.00431291703855,0
exact,0,2,1.86012533814e-05,0
exact,0.1,1,0.00431624233026,0
exact,0.1,2,3.1452535678e-05,0
exact,0.2,1,0.00432133765514,0
exact,0.2,2,4.72554971441e-05,0
exact,0.3,1,0.00432888277114,0
exact,0.3,2,6.53901257985e-05,0
exact,0.4,1,0.00433940353889,0
exact,0.4,2,8.52207569153e-05,0
exact,0.5,1,0.00435329629877,0
exact,0.5,2,0.00010617440117,0
exact,0.6,1,0.00437084898707,0
exact,0.6,2,0.000127776806281,0
exact,0.7,1,0.00439225929811,0
exact,0.7,2,0.000149660938695,0
exact,0.8,1,0.00441765021148,0
exact,0.8,2,0.000171559814213,0
exact,0.9,1,0.0044470831981,0
exact,0.9,2,0.000193291969208,0
exact,1,1,0.00448056940186,0
exact,1,2,0.00021474472585,0
exact,1.1,1,0.0045180790707,0
exact,1.1,2,0.000235858116871,0
exact,1.2,1,0.00455954948415,0
exact,1.2,2,0.000256610833578,0
exact,1.3,1,0.00460489159747,0
exact,1.3,2,0.000277008656862,0
exact,1.4,1,0.00465399559554,0
exact,1.4,2,0.000297075335616,0
exact,1.5,1,0.00470673552473,0
exact,1.5,2,0.000316845639623,0
exact,1.6,1,0.00476297314748,0
exact,1.6,2,0.000336360228398,0
exact,1.7,1,0.00482256114391,0
exact,1.7,2,0.000355661974199,0
exact,1.8,1,0.0048853457659,0
exact,1.8,2,0.000374793413607,0
exact,1.9,1,0.00495116903308,0
exact,1.9,2,0.000393795053199,0
exact,2,1,0.00501987054602,0
exact,2,2,0.00041270430754,0
exact,2.1,1,0.0050912889798,0
exact,2.1,2,0.000431554895608,0
exact,2.2,1,0.00516526331093,0
exact,2.2,2,0.000450376562485,0
exact,2.3,1,0.00524163382175,0
exact,2.3,2,0.000469195026157,0
exact,2.4,1,0.00532024291901,0
exact,2.4,2,0.000488032075368,0
exact,2.5,1,0.00540093579727,0
exact,2.5,2,0.000506905764524,0
exact,2.6,1,0.0054835609725,0
exact,2.6,2,0.000525830666941,0
exact,2.7,1,0.00556797070698,0
exact,2.7,2,0.000544818159029,0
exact,2.8,1,0.00565402134301,0
exact,2.8,2,0.000563876716492,0
exact,2.9,1,0.00574157356001,0
exact,2.9,2,0.000583012209666,0
exact,3,1,0.00583049256712,0
exact,3,2,0.000602228189624,0
exact,3.1,1,0.00592064824142,0
exact,3.1,2,0.000621526159754,0
exact,3.2,1,0.00601191522026,0
exact,3.2,2,0.000640905829812,0
exact,3.3,1,0.00610417295473,0
exact,3.3,2,0.00066036535094,0
exact,3.4,1,0.00619730573034,0
exact,3.4,2,0.000679901531213,0
exact,3.5,1,0.00629120265984,0
exact,3.5,2,0.000699510031996,0
exact,3.6,1,0.00638575765259,0
exact,3.6,2,0.000719185545785,0
exact,3.7,1,0.0064808693641,0
exact,3.7,2,0.000738921956545,0
exact,3.8,1,0.00657644112881,0
exact,3.8,2,0.000758712483644,0
exact,3.9,1,0.00667238087892,0
exact,3.9,2,0.000778549810598,0
exact,4,1,0.00676860105154,0
exact,4,2,0.000798426199801,0
exact,4.1,1,0.00686501848624,0
exact,4.1,2,0.000818333594444,0
exact,4.2,1,0.00696155431468,0
exact,4.2,2,0.000838263708714,0
exact,4.3,1,0.00705813384401,0
exact,4.3,2,0.000858208107358,0
exact,4.4,1,0.00715468643526,0
exact,4.4,2,0.000878158275583,0
exact,4.5,1,0.00725114537801,0
exact,4.5,2,0.000898105680211,0
exact,4.6,1,0.00734744776232,0
exact,4.6,2,0.000918041822953,0
exact,4.7,1,0.00744353434894,0
exact,4.7,2,0.000937958286541,0
exact,4.8,1,0.0075393494385,0
exact,4.8,2,0.000957846774469,0
exact,4.9,1,0.00763484074044,0
exact,4.9,2,0.00097769914496,0
exact,5,1,0.00772995924237,0
exact,5,2,0.000997507439768,0
exact,5.1,1,0.00782465908027,0
exact,5.1,2,0.00101726390834,0
exact,5.2,1,0.00791889741013,0
exact,5.2,2,0.00103696102785,0
exact,5.3,1,0.00801263428139,0
exact,5.3,2,0.00105659151951,0
exact,5.4,1,0.0081058325125,0
exact,5.4,2,0.0010761483616,0
exact,5.5,1,0.00819845756897,0
exact,5.5,2,0.0010956247996,0
exact,5.6,1,0.00829047744406,0
exact,5.6,2,0.00111501435364,0
exact,5.7,1,0.0083818625425,0
exact,5.7,2,0.00113431082377,0
exact,5.8,1,0.00847258556712,0
exact,5.8,2,0.0011535082931,0
exact,5.9,1,0.0085626214089,0
exact,5.9,2,0.00117260112921,0
exact,6,1,0.00865194704016,0
exact,6,2,0.00119158398404,0
monte_carlo,0.5,1,0.00435384627437,2.50495796267e-05
monte_carlo,0.5,2,0.000106802751426,2.00002353815e-06
monte_carlo,2,1,0.00492952373477,5.13942133892e-05
monte_carlo,2,2,0.000394088686672,1.16876537391e-05
monte_carlo,5,1,0.00763913049674,8.08661930849e-05
monte_carlo,5,2,0.000973857541172,2.69470381412e-05
