method,map_c,points,max_error_abs_x_le_4,rms_error_abs_x_le_4,implicit_matrix_condition,minimum_solution
direct x,,41,0.00761967089888,0.00283058034087,1.04361219244,1.22321786729e-12
phase compactification,0.5,41,0.0024727961181,0.000944010169359,5.67507578113,0.0010879256159
phase compactification,1,41,0.000964299197233,0.000365003144546,2.27299019289,1.22423107453e-05
phase compactification,2,41,0.0006539452039,0.000409433904556,1.38025356155,5.58321211069e-08
direct x,,81,0.00186941962091,0.000710210767601,1.17485328586,3.86760223618e-15
phase compactification,0.5,81,0.000780723275017,0.000241409533532,20.1907952031,1.26351900838e-05
phase compactification,1,81,0.000237867590449,9.14912771054e-05,6.2201730029,4.63161693665e-08
phase compactification,2,81,0.00016299172072,0.000101498501222,2.55628273317,1.01453437975e-10
direct x,,161,0.000465155692303,0.000178256402997,1.69981785454,1.82857456681e-16
phase compactification,0.5,161,0.000199424031427,6.03757496648e-05,78.7784339793,5.16982915253e-08
phase compactification,1,161,5.97520350564e-05,2.27758036156e-05,22.14564518,1.00332397598e-10
phase compactification,2,161,4.07172824702e-05,2.54614300041e-05,7.2976934686,2.73927309924e-13
