probability,empirical,exact,error
0.01,-1.20999884411,-1.20657104553,-0.00342779857323
0.02,-1.16643884443,-1.16218590607,-0.00425293835746
0.03,-1.13144110361,-1.12834310035,-0.00309800325851
0.04,-1.10318706217,-1.09923751239,-0.00394954978316
0.05,-1.07674350961,-1.07282672999,-0.00391677962703
0.06,-1.05205601664,-1.04812443216,-0.00393158447408
0.07,-1.02868643993,-1.02456900129,-0.00411743864253
0.08,-1.00555816605,-1.00180559577,-0.00375257028259
0.09,-0.9830354572,-0.979593117577,-0.00344233962219
0.1,-0.96218773869,-0.957758636829,-0.00442910186164
0.11,-0.940354164216,-0.936172779721,-0.00418138449428
0.12,-0.918791575653,-0.914735432801,-0.00405614285148
0.13,-0.896854710477,-0.89336695708,-0.00348775339678
0.14,-0.875735280255,-0.87200254109,-0.00373273916462
0.15,-0.855261603301,-0.850588438418,-0.00467316488292
0.16,-0.83345054199,-0.829079387012,-0.00437115497815
0.17,-0.8112727865,-0.807436797545,-0.00383598895512
0.18,-0.788783237536,-0.785627458498,-0.00315577903812
0.19,-0.76663461758,-0.763622598255,-0.00301201932511
0.2,-0.745956842222,-0.741397200019,-0.00455964220252
0.21,-0.723572134412,-0.718929499709,-0.00464263470312
0.22,-0.700399183528,-0.696200618807,-0.00419856472071
0.23,-0.677857002558,-0.673194298373,-0.00466270418537
0.24,-0.654074278889,-0.649896709832,-0.0041775690567
0.25,-0.6306625705,-0.626296324548,-0.00436624595198
0.26,-0.606850457599,-0.602383828498,-0.00446662910132
0.27,-0.582411430633,-0.578152071404,-0.0042593592288
0.28,-0.557991853696,-0.553596041736,-0.00439581195923
0.29,-0.53347504096,-0.528712860449,-0.004762180511
0.3,-0.508378150475,-0.50350178736,-0.00487636311551
0.31,-0.481918279054,-0.477964234772,-0.00395404428185
0.32,-0.455602229101,-0.4521037835,-0.00349844560039
0.33,-0.42911206292,-0.425926196833,-0.00318586608703
0.34,-0.403770505803,-0.399439428343,-0.0043310774601
0.35,-0.378322699537,-0.372653619746,-0.0056690797909
0.36,-0.3513529073,-0.345581085356,-0.00577182194458
0.37,-0.324358405674,-0.318236280067,-0.00612212560644
0.38,-0.296002354244,-0.290635748205,-0.00536660603895
0.39,-0.268481715209,-0.262798051106,-0.0056836641032
0.4,-0.240020199085,-0.234743671862,-0.00527652722373
0.41,-0.212035229135,-0.206494896299,-0.00554033283566
0.42,-0.183151917815,-0.178075669987,-0.00507624782788
0.43,-0.152779548808,-0.149511431788,-0.00326811701992
0.44,-0.124324488765,-0.120828925256,-0.00349556350906
0.45,-0.0952038883508,-0.0920559899073,-0.00314789844348
0.46,-0.0655172415517,-0.0632213351239,-0.00229590642784
0.47,-0.0354957761474,-0.034354300043,-0.00114147610444
0.48,-0.00668664610718,-0.00548460334283,-0.00120204276434
0.49,0.0219095665016,0.0233579128048,-0.00144834630312
0.5,0.0492712728268,0.0521435400979,-0.00287226727113
0.51,0.0783502503543,0.0808429582025,-0.00249270784816
0.52,0.107415463287,0.109427481104,-0.00201201781656
0.53,0.135638265977,0.137869291497,-0.00223102551968
0.54,0.164708143834,0.166141659408,-0.00143351557421
0.55,0.193634937082,0.194219141785,-0.000584204703185
0.56,0.221512478252,0.222077760418,-0.000565282165944
0.57,0.250253768444,0.249695156254,0.000558612190031
0.58,0.277345810178,0.277050718906,0.000295091272612
0.59,0.304916593641,0.304125690872,0.000790902769218
0.6,0.332126386746,0.330903246691,0.00122314005549
0.61,0.358154377839,0.357368547887,0.000785829952424
0.62,0.384054224599,0.383508775152,0.00054544944701
0.63,0.411058215985,0.409313139667,0.00174507631815
0.64,0.436714849269,0.43477287588,0.00194197338944
0.65,0.461853031176,0.459881218342,0.00197181283358
0.66,0.486435525811,0.484633365428,0.00180216038254
0.67,0.510602970446,0.509026432889,0.00157653755707
0.68,0.535589703478,0.53305940029,0.00253030318763
0.69,0.559344299432,0.556733053386,0.00261124604614
0.7,0.581770626704,0.580049925518,0.00172070118538
0.71,0.604699134831,0.603014241114,0.00168489371651
0.72,0.626516115042,0.625631864396,0.000884250646252
0.73,0.648253764021,0.647910256484,0.000343507537003
0.74,0.669626022118,0.669858444234,-0.000232422116221
0.75,0.69080477574,0.691487004419,-0.000682228678757
0.76,0.712851795752,0.712808067303,4.37284489524e-05
0.77,0.733151661936,0.733835344325,-0.000683682389255
0.78,0.753918639758,0.754584185582,-0.000665545823472
0.79,0.774885530144,0.775071674212,-0.000186144067629
0.8,0.794926566055,0.795316766834,-0.000390200778552
0.81,0.815233684846,0.815340492059,-0.000106807212239
0.82,0.834688086346,0.835166223327,-0.00047813698134
0.83,0.853646356476,0.854820048384,-0.00117369190837
0.84,0.873905179085,0.874331266699,-0.000426087614026
0.85,0.893516190448,0.893733059644,-0.000216869196382
0.86,0.912913859743,0.913063398897,-0.00014953915385
0.87,0.932204850263,0.932366291047,-0.000161440784361
0.88,0.952123055463,0.951693508803,0.000429546660309
0.89,0.970797235087,0.971107046708,-0.000309811621299
0.9,0.990264647343,0.990682690714,-0.000418043371278
0.91,1.00988714629,1.01051536476,-0.00062821846737
0.92,1.03016577968,1.03072743862,-0.000561658942089
0.93,1.05141748375,1.05148223581,-6.4752052807e-05
0.94,1.07284145852,1.07300728162,-0.000165823092297
0.95,1.09569697734,1.09563735145,5.96258943246e-05
0.96,1.11938101387,1.11990236298,-0.000521349107959
0.97,1.14588775326,1.14673334861,-0.00084559534807
0.98,1.17740346298,1.17805960147,-0.000656138490762
0.99,1.21963315551,1.21937127246,0.000261883048542
