method,steps,h,rmse,rmse_standard_error,weak_mean_error,boundary_violation_rate,fitted_strong_slope
Euler-Maruyama,32,0.03125,0.02176277897,0.000324897985468,0.00115720336747,0,0.494501776677
Milstein,32,0.03125,0.00575546770386,9.42967246292e-05,0.00109429141808,0,1.00824432445
Stratonovich-Heun,32,0.03125,0.00430787892643,5.68017620291e-05,0.0011374197546,0,1.00408598328
Euler-Maruyama,64,0.015625,0.0155508838439,0.000236486853443,0.000750911190859,0,0.494501776677
Milstein,64,0.015625,0.00284255254482,3.68103298745e-05,0.000521531157263,0,1.00824432445
Stratonovich-Heun,64,0.015625,0.00215204775643,2.46157421842e-05,0.0005368354407,0,1.00408598328
Euler-Maruyama,128,0.0078125,0.0109512489507,0.000156722870601,0.000402110424909,0,0.494501776677
Milstein,128,0.0078125,0.00141085526367,1.79648793741e-05,0.000258860617752,0,1.00824432445
Stratonovich-Heun,128,0.0078125,0.00107039747953,1.14300210698e-05,0.000271740121735,0,1.00408598328
Euler-Maruyama,256,0.00390625,0.00776853491692,0.000109273087639,0.000314984965757,0,0.494501776677
Milstein,256,0.00390625,0.000712684809519,8.17918350516e-06,0.000130181696553,0,1.00824432445
Stratonovich-Heun,256,0.00390625,0.000534764605406,4.90926691852e-06,0.000139429446274,0,1.00408598328
Euler-Maruyama,512,0.001953125,0.00554782803011,7.84358316781e-05,0.000116556339076,0,0.494501776677
Milstein,512,0.001953125,0.000349081792862,3.66880205131e-06,6.51956651019e-05,0,1.00824432445
Stratonovich-Heun,512,0.001953125,0.000266261342757,2.39009573658e-06,7.15578700423e-05,0,1.00408598328
